,n1_field,n1_energy,n2_field,n2_energy
63,-93.6936936936937,-1.1449631477648048e-24,-93.6936936936937,-1.2706001476001946e-24
64,-93.5935935935936,-1.1426554306316439e-24,-93.5935935935936,-1.268060744464255e-24
65,-93.4934934934935,-1.1403496624753577e-24,-93.4934934934935,-1.2655234109796533e-24
66,-93.3933933933934,-1.1380458445852284e-24,-93.3933933933934,-1.262988148699641e-24
67,-93.2932932932933,-1.1357439782506323e-24,-93.2932932932933,-1.260454959177751e-24
68,-93.1931931931932,-1.1334440647609455e-24,-93.1931931931932,-1.257923843967423e-24
69,-93.0930930930931,-1.1311461054057325e-24,-93.0930930930931,-1.2553948046226605e-24
70,-92.992992992993,-1.1288501014748396e-24,-92.992992992993,-1.2528678426976548e-24
71,-92.8928928928929,-1.1265560542576432e-24,-92.8928928928929,-1.250342959747068e-24
72,-92.7927927927928,-1.1242639650443657e-24,-92.7927927927928,-1.2478201573256559e-24
73,-92.6926926926927,-1.1219738351244776e-24,-92.6926926926927,-1.2452994369883623e-24
74,-92.5925925925926,-1.1196856657880133e-24,-92.5925925925926,-1.2427808002904134e-24
75,-92.4924924924925,-1.1173994583252894e-24,-92.4924924924925,-1.2402642487875053e-24
76,-92.3923923923924,-1.1151152140259643e-24,-92.3923923923924,-1.2377497840353344e-24
77,-92.2922922922923,-1.1128329341805427e-24,-92.2922922922923,-1.235237407590161e-24
78,-92.1921921921922,-1.1105526200792473e-24,-92.1921921921922,-1.2327271210080577e-24
79,-92.0920920920921,-1.1082742730122066e-24,-92.0920920920921,-1.230218925845661e-24
80,-91.991991991992,-1.1059978942699252e-24,-91.991991991992,-1.2277128236599837e-24
81,-91.8918918918919,-1.103723485142814e-24,-91.8918918918919,-1.2252088160078506e-24
82,-91.7917917917918,-1.1014510469212835e-24,-91.7917917917918,-1.2227069044467446e-24
83,-91.6916916916917,-1.0991805808959325e-24,-91.6916916916917,-1.2202070905342428e-24
84,-91.5915915915916,-1.096912088357548e-24,-91.5915915915916,-1.2177093758280163e-24
85,-91.4914914914915,-1.0946455705965404e-24,-91.4914914914915,-1.2152137618863003e-24
86,-91.3913913913914,-1.0923810289038848e-24,-91.3913913913914,-1.2127202502673303e-24
87,-91.2912912912913,-1.0901184645701799e-24,-91.2912912912913,-1.2102288425295295e-24
88,-91.1911911911912,-1.0878578788864006e-24,-91.1911911911912,-1.2077395402316975e-24
89,-91.0910910910911,-1.0855992731431457e-24,-91.0910910910911,-1.205252344933104e-24
90,-90.990990990991,-1.0833426486317663e-24,-90.990990990991,-1.2027672581926428e-24
91,-90.8908908908909,-1.081088006642861e-24,-90.8908908908909,-1.2002842815699596e-24
92,-90.7907907907908,-1.078835348467687e-24,-90.7907907907908,-1.1978034166247003e-24
93,-90.6906906906907,-1.0765846753971252e-24,-90.6906906906907,-1.195324664916699e-24
94,-90.5905905905906,-1.0743359887224325e-24,-90.5905905905906,-1.1928480280062599e-24
95,-90.4904904904905,-1.072089289734584e-24,-90.4904904904905,-1.190373507453687e-24
96,-90.3903903903904,-1.0698445797248365e-24,-90.3903903903904,-1.1879011048196608e-24
97,-90.2902902902903,-1.067601859984165e-24,-90.2902902902903,-1.1854308216647675e-24
98,-90.1901901901902,-1.0653611318042968e-24,-90.1901901901902,-1.1829626595501578e-24
99,-90.0900900900901,-1.0631223964760187e-24,-90.0900900900901,-1.180496620037076e-24
100,-89.98998998999,-1.0608856552907758e-24,-89.98998998999,-1.1780327046869551e-24
101,-89.8898898898899,-1.0586509095399191e-24,-89.8898898898899,-1.1755709150613215e-24
102,-89.7897897897898,-1.0564181605147999e-24,-89.7897897897898,-1.1731112527221723e-24
103,-89.6896896896897,-1.054187409506769e-24,-89.6896896896897,-1.1706537192315983e-24
104,-89.5895895895896,-1.0519586578068956e-24,-89.5895895895896,-1.1681983161517845e-24
105,-89.4894894894895,-1.0497319067070949e-24,-89.4894894894895,-1.165745045045292e-24
106,-89.3893893893894,-1.0475071574983417e-24,-89.3893893893894,-1.163293907474682e-24
107,-89.2892892892893,-1.0452844114721754e-24,-89.2892892892893,-1.1608449050027978e-24
108,-89.1891891891892,-1.043063669920229e-24,-89.1891891891892,-1.1583980391928587e-24
109,-89.0890890890891,-1.0408449341335715e-24,-89.0890890890891,-1.1559533116080841e-24
110,-88.988988988989,-1.0386282054040242e-24,-88.988988988989,-1.1535107238116935e-24
111,-88.8888888888889,-1.03641348502275e-24,-88.8888888888889,-1.1510702773675645e-24
112,-88.78878878878879,-1.0342007742812883e-24,-88.78878878878879,-1.1486319738393868e-24
113,-88.6886886886887,-1.031990074471084e-24,-88.6886886886887,-1.14619581479132e-24
114,-88.58858858858859,-1.0297813868835822e-24,-88.58858858858859,-1.143761801787242e-24
115,-88.4884884884885,-1.0275747128103221e-24,-88.4884884884885,-1.1413299363918769e-24
116,-88.38838838838839,-1.0253700535425608e-24,-88.38838838838839,-1.1389002201693842e-24
117,-88.28828828828829,-1.0231674103718374e-24,-88.28828828828829,-1.1364726546847703e-24
118,-88.18818818818819,-1.020966784589691e-24,-88.18818818818819,-1.1340472415026651e-24
119,-88.0880880880881,-1.0187681774873788e-24,-88.0880880880881,-1.131623982188451e-24
120,-87.98798798798799,-1.0165715903561577e-24,-87.98798798798799,-1.12920287830704e-24
121,-87.8878878878879,-1.0143770244876609e-24,-87.8878878878879,-1.1267839314239085e-24
122,-87.78778778778779,-1.0121844811731454e-24,-87.78778778778779,-1.124367143104627e-24
